game_id,stint_id,h_team,a_team,minutes,h_goals,a_goals,USA_p1,USA_p2,USA_p3,USA_p4,USA_p5,USA_p6,USA_p7,USA_p8,USA_p9,USA_p10,USA_p11,USA_p12,Japan_p1,Japan_p2,Japan_p3,Japan_p4,Japan_p5,Japan_p6,Japan_p7,Japan_p8,Japan_p9,Japan_p10,Japan_p11,Japan_p12,Great.Britain_p1,Great.Britain_p2,Great.Britain_p3,Great.Britain_p4,Great.Britain_p5,Great.Britain_p6,Great.Britain_p7,Great.Britain_p8,Great.Britain_p9,Great.Britain_p10,Great.Britain_p11,Great.Britain_p12,Canada_p1,Canada_p2,Canada_p3,Canada_p4,Canada_p5,Canada_p6,Canada_p7,Canada_p8,Canada_p9,Canada_p10,Canada_p11,Canada_p12,France_p1,France_p2,France_p3,France_p4,France_p5,France_p6,France_p7,France_p8,France_p9,France_p10,France_p11,France_p12,Denmark_p1,Denmark_p2,Denmark_p3,Denmark_p4,Denmark_p5,Denmark_p6,Denmark_p7,Denmark_p8,Denmark_p9,Denmark_p10,Denmark_p11,Denmark_p12,Sweden_p1,Sweden_p2,Sweden_p3,Sweden_p4,Sweden_p5,Sweden_p6,Sweden_p7,Sweden_p8,Sweden_p9,Sweden_p10,Sweden_p11,Sweden_p12,Brazil_p1,Brazil_p2,Brazil_p3,Brazil_p4,Brazil_p5,Brazil_p6,Brazil_p7,Brazil_p8,Brazil_p9,Brazil_p10,Brazil_p11,Brazil_p12,Columbia_p1,Columbia_p2,Columbia_p3,Columbia_p4,Columbia_p5,Columbia_p6,Columbia_p7,Columbia_p8,Columbia_p9,Columbia_p10,Columbia_p11,Columbia_p12,Poland_p1,Poland_p2,Poland_p3,Poland_p4,Poland_p5,Poland_p6,Poland_p7,Poland_p8,Poland_p9,Poland_p10,Poland_p11,Poland_p12,Argentina_p1,Argentina_p2,Argentina_p3,Argentina_p4,Argentina_p5,Argentina_p6,Argentina_p7,Argentina_p8,Argentina_p9,Argentina_p10,Argentina_p11,Argentina_p12,Chile_p1,Chile_p2,Chile_p3,Chile_p4,Chile_p5,Chile_p6,Chile_p7,Chile_p8,Chile_p9,Chile_p10,Chile_p11,Chile_p12
1,1,USA,Japan,4.25296895444065,4,9,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,USA,Japan,5.68880910268871,6,11,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,USA,Japan,1.14955662267434,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,USA,Japan,3.51161718747571,7,5,0,1,0,0,0,1,1,1,0,0,0,0,0,-1,0,-1,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,USA,Japan,2.1631386455833,7,5,0,0,0,0,1,0,1,1,1,0,0,0,-1,0,0,0,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,USA,Japan,2.15597150902147,0,6,0,1,0,1,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,USA,Japan,1.49607095087972,4,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,USA,Japan,4.24861861209177,8,13,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,-1,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,USA,Japan,1.94564460283145,0,5,0,0,1,0,0,1,1,1,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,USA,Japan,3.33524182790918,4,4,0,0,0,0,0,0,0,1,1,1,1,0,-1,0,-1,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
